name,district,party,age,email
Grzegorz Puda,27 Bielsko-Biała,PiS,2010,Grzegorz.Puda@sejm.pl
Michał Pyrzyk,37 Konin,PSL-TD,2016,Michal.Pyrzyk@sejm.pl
Renata Rak,40 Koszalin,KO,1994,Renata.Rak@sejm.pl
Ireneusz Raś,13 Kraków,PSL-TD,1993,Ireneusz.Ras@sejm.pl
Zbigniew Rau,9 Łódź,PiS,2020,Zbigniew.Rau@sejm.pl
Marcin Romanowski,7 Chełm,PiS,2004,Marcin.Romanowski@sejm.pl
Bartosz Romowicz,22 Krosno,Polska2050-TD,2009,Bartosz.Romowicz@sejm.pl
Monika Rosa,31 Katowice,KO,1999,Monika.Rosa@sejm.pl
Wiesław Różyński,7 Chełm,PSL-TD,1997,Wieslaw.Rozynski@sejm.pl
Urszula Rusecka,15 Tarnów,PiS,2012,Urszula.Rusecka@sejm.pl
Grzegorz Rusiecki,36 Kalisz,KO,1995,Grzegorz.Rusiecki@sejm.pl
Jakub Rutnicki,38 Piła,KO,2020,Jakub.Rutnicki@sejm.pl
Paweł Rychlik,11 Sieradz,PiS,2007,Pawel.Rychlik@sejm.pl
Marek Rząsa,22 Krosno,KO,2019,Marek.Rzasa@sejm.pl
Jarosław Rzepa,41 Szczecin,PSL-TD,2001,Jaroslaw.Rzepa@sejm.pl
Jarosław Sachajko,7 Chełm,Kukiz15,2015,Jaroslaw.Sachajko@sejm.pl
Paweł Sałek,10 Piotrków Trybunalski,PiS,1994,Pawel.Salek@sejm.pl
Wojciech Saługa,32 Katowice,KO,1996,Wojciech.Saluga@sejm.pl
Tadeusz Samborski,1 Legnica,PSL-TD,2015,Tadeusz.Samborski@sejm.pl
Jacek Sasin,24 Białystok,PiS,2017,Jacek.Sasin@sejm.pl
Marek Sawicki,18 Siedlce,PSL-TD,2015,Marek.Sawicki@sejm.pl
Ewa Schädler,39 Poznań,Polska2050-TD,2010,Ewa.Schadler@sejm.pl
Joanna Scheuring-Wielgus,5 Toruń,Lewica,2015,Joanna.Scheuring-Wielgus@sejm.pl
Anna Schmidt,22 Krosno,PiS,2012,Anna.Schmidt@sejm.pl
Łukasz Schreiber,4 Bydgoszcz,PiS,1997,Lukasz.Schreiber@sejm.pl
Jarosław Sellin,25 Gdańsk,PiS,2022,Jaroslaw.Sellin@sejm.pl
Olga Ewa Semeniuk-Patkowska,35 Olsztyn,PiS,2018,Olga.Semeniuk-Patkowska@sejm.pl
Edward Siarka,14 Nowy Sącz,PiS,2016,Edward.Siarka@sejm.pl
Krystyna Sibińska,8 Zielona Góra,KO,2011,Krystyna.Sibinska@sejm.pl
Czesław Siekierski,33 Kielce,PSL-TD,2015,Czeslaw.Siekierski@sejm.pl
Rafał Siemaszko,26 Słupsk,KO,2012,Rafal.Siemaszko@sejm.pl
Tomasz Siemoniak,21 Opole,KO,2021,Tomasz.Siemoniak@sejm.pl
Bartłomiej Sienkiewicz,13 Kraków,KO,1994,Bartlomiej.Sienkiewicz@sejm.pl
Arkadiusz Sikora,1 Legnica,Lewica,2003,Arkadiusz.Sikora@sejm.pl
Włodzimierz Skalik,21 Opole,Konfederacja,2013,Wlodzimierz.Skalik@sejm.pl
Marcin Skonieczka,5 Toruń,Polska2050-TD,2014,Marcin.Skonieczka@sejm.pl
Krystyna Skowrońska,23 Rzeszów,KO,2001,Krystyna.Skowronska@sejm.pl
Sławomir Skwarek,6 Lublin,PiS,1998,Slawomir.Skwarek@sejm.pl
Waldemar Sługocki,8 Zielona Góra,KO,2014,Waldemar.Slugocki@sejm.pl
Weronika Smarduch,14 Nowy Sącz,KO,2015,Weronika.Smarduch@sejm.pl
Kazimierz Smoliński,25 Gdańsk,PiS,2008,Kazimierz.Smolinski@sejm.pl
Anna Sobolak,3 Wrocław,KO,2021,Anna.Sobolak@sejm.pl
Krzysztof Sobolewski,23 Rzeszów,PiS,2003,Krzysztof.Sobolewski@sejm.pl
Artur Soboń,6 Lublin,PiS,2010,Artur.Sobon@sejm.pl
Agnieszka Anna Soin,3 Wrocław,PiS,2014,Agnieszka.Soin@sejm.pl
Zbigniew Sosnowski,5 Toruń,PSL-TD,2013,Zbigniew.Sosnowski@sejm.pl
Marek Sowa,12 Kraków,KO,2019,Marek.Sowa@sejm.pl
Katarzyna Sójka,36 Kalisz,PiS,2018,Katarzyna.Sojka@sejm.pl
Magdalena Sroka,25 Gdańsk,PSL-TD,2008,Magdalena.Sroka@sejm.pl
Mirosława Stachowiak-Różecka,3 Wrocław,PiS,2015,Miroslawa.Stachowiak-Rozecka@sejm.pl
Dariusz Stefaniuk,7 Chełm,PiS,2013,Dariusz.Stefaniuk@sejm.pl
Franciszek Sterczewski,39 Poznań,KO,2006,Franciszek.Sterczewski@sejm.pl
Piotr Paweł Strach,29 Katowice,Polska2050-TD,2014,Piotr.Strach@sejm.pl
Mirosław Suchoń,27 Bielsko-Biała,Polska2050-TD,2014,Miroslaw.Suchon@sejm.pl
Marek Suski,17 Radom,PiS,2012,Marek.Suski@sejm.pl
Paweł Suski,40 Koszalin,KO,2013,Pawel.Suski@sejm.pl
Artur Szałabawka,41 Szczecin,PiS,2020,Artur.Szalabawka@sejm.pl
Wojciech Szarama,29 Katowice,PiS,2007,Wojciech.Szarama@sejm.pl
Wiesław Szczepański,36 Kalisz,Lewica,2022,Wieslaw.Szczepanski@sejm.pl
Michał Szczerba,19 Warszawa,KO,2009,Michal.Szczerba@sejm.pl
Krzysztof Szczucki,5 Toruń,PiS,2005,Krzysztof.Szczucki@sejm.pl
Józefa Szczurek-Żelazko,15 Tarnów,PiS,2009,Jozefa.Szczurek-Zelazko@sejm.pl
Paweł Szefernaker,40 Koszalin,PiS,1996,Pawel.Szefernaker@sejm.pl
Andrzej Szejna,33 Kielce,Lewica,1995,Andrzej.Szejna@sejm.pl
Andrzej Szewiński,28 Częstochowa,KO,2003,Andrzej.Szewinski@sejm.pl
Adam Szłapka,39 Poznań,KO,2017,Adam.Szlapka@sejm.pl
Henryk Szopiński,38 Piła,KO,2008,Henryk.Szopinski@sejm.pl
Paweł Szrot,4 Bydgoszcz,PiS,1993,Pawel.Szrot@sejm.pl
Krystyna Szumilas,29 Katowice,KO,1995,Krystyna.Szumilas@sejm.pl
Stanisław Szwed,27 Bielsko-Biała,PiS,2011,Stanislaw.Szwed@sejm.pl
Ewa Szymanowska,9 Łódź,Polska2050-TD,1993,Ewa.Szymanowska@sejm.pl
Tomasz Szymański,5 Toruń,KO,1999,Tomasz.Szymanski@sejm.pl
Szymon Szynkowski vel Sęk,39 Poznań,PiS,1999,Szymon.SzynkowskiVelSek@sejm.pl
Łukasz Ściebiorowski,31 Katowice,KO,2010,Lukasz.Sciebiorowski@sejm.pl
Agnieszka Ścigaj,13 Kraków,PiS,2001,Agnieszka.Scigaj@sejm.pl
Andrzej Śliwka,34 Elbląg,PiS,2011,Andrzej.Sliwka@sejm.pl
Paweł Śliz,12 Kraków,Polska2050-TD,2005,Pawel.Sliz@sejm.pl
Krzysztof Śmiszek,3 Wrocław,Lewica,1998,Krzysztof.Smiszek@sejm.pl
Jacek Świat,3 Wrocław,PiS,2007,Jacek.Swiat@sejm.pl
Apoloniusz Tajner,27 Bielsko-Biała,KO,2006,Apoloniusz.Tajner@sejm.pl
Krzysztof Tchórzewski,18 Siedlce,PiS,2004,Krzysztof.Tchorzewski@sejm.pl
Robert Telus,10 Piotrków Trybunalski,PiS,2005,Robert.Telus@sejm.pl
Ryszard Terlecki,14 Nowy Sącz,PiS,2021,Ryszard.Terlecki@sejm.pl
Tadeusz Tomaszewski,37 Konin,Lewica,2002,Tadeusz.Tomaszewski@sejm.pl
Jacek Tomczak,39 Poznań,PSL-TD,1996,Jacek.Tomczak@sejm.pl
Wioleta Tomczak,26 Słupsk,Polska2050-TD,2002,Wioleta.Tomczak@sejm.pl
Cezary Tomczyk,11 Sieradz,KO,1998,Cezary.Tomczyk@sejm.pl
Stanisław Tomczyszyn,8 Zielona Góra,PSL-TD,1997,Stanislaw.Tomczyszyn@sejm.pl
Małgorzata Tracz,3 Wrocław,KO,2015,Malgorzata.Tracz@sejm.pl
Tomasz Trela,9 Łódź,Lewica,1993,Tomasz.Trela@sejm.pl
Krzysztof Truskolaski,24 Białystok,KO,1998,Krzysztof.Truskolaski@sejm.pl
Krzysztof Tuduj,3 Wrocław,Konfederacja,1998,Krzysztof.Tuduj@sejm.pl
Sylwester Tułajew,6 Lublin,PiS,1993,Sylwester.Tulajew@sejm.pl
Witold Tumanowicz,7 Chełm,Konfederacja,2019,Witold.Tumanowicz@sejm.pl
Donald Tusk,19 Warszawa,KO,2001,Donald.Tusk@sejm.pl
Stanisław Tyszka,26 Słupsk,Konfederacja,2012,Stanislaw.Tyszka@sejm.pl
Katarzyna Ueberhan,39 Poznań,Lewica,1997,Katarzyna.Ueberhan@sejm.pl
Jarosław Urbaniak,36 Kalisz,KO,2016,Jaroslaw.Urbaniak@sejm.pl
Piotr Uruski,22 Krosno,PiS,2012,Piotr.Uruski@sejm.pl
Piotr Uściński,20 Warszawa,PiS,2003,Piotr.Uscinski@sejm.pl
Jarosław Wałęsa,25 Gdańsk,KO,2010,Jaroslaw.Walesa@sejm.pl
Marcin Warchoł,23 Rzeszów,PiS,2010,Marcin.Warchol@sejm.pl
Robert Wardzała,15 Tarnów,KO,2011,Robert.Wardzala@sejm.pl
Robert Warwas,32 Katowice,PiS,2010,Robert.Warwas@sejm.pl
Jan Warzecha,23 Rzeszów,PiS,2002,Jan.Warzecha@sejm.pl
Małgorzata Wassermann,13 Kraków,PiS,2007,Malgorzata.Wassermann@sejm.pl
Michał Wawer,33 Kielce,Konfederacja,2022,Michal.Wawer@sejm.pl
Maciej Wąsik,16 Płock,PiS,2007,Maciej.Wasik@sejm.pl
Marta Wcisło,6 Lublin,KO,1997,Marta.Wcislo@sejm.pl
Rafał Weber,23 Rzeszów,PiS,2022,Rafal.Weber@sejm.pl
Marek Wesoły,31 Katowice,PiS,2020,Marek.Wesoly@sejm.pl
Joanna Wicha,20 Warszawa,Lewica,2014,Joanna.Wicha@sejm.pl
Patryk Wicher,14 Nowy Sącz,PiS,2014,Patryk.Wicher@sejm.pl
Dariusz Wieczorek,41 Szczecin,Lewica,2000,Dariusz.Wieczorek@sejm.pl
Jarosław Wiesław Wieczorek,29 Katowice,PiS,1997,Jaroslaw.Wieczorek@sejm.pl
Monika Wielichowska,2 Wałbrzych,KO,2019,Monika.Wielichowska@sejm.pl
Ryszard Wilk,14 Nowy Sącz,Konfederacja,1999,Ryszard.Wilk@sejm.pl
Teresa Wilk,34 Elbląg,PiS,1994,Teresa.Wilk@sejm.pl
Przemysław Wipler,5 Toruń,Konfederacja,2008,Przemyslaw.Wipler@sejm.pl
Aleksandra Karolina Wiśniewska,9 Łódź,KO,1996,Aleksandra.Wisniewska@sejm.pl
Adrian Witczak,10 Piotrków Trybunalski,KO,2003,Adrian.Witczak@sejm.pl
Mariusz Witczak,36 Kalisz,KO,2009,Mariusz.Witczak@sejm.pl
Elżbieta Witek,1 Legnica,PiS,2006,Elzbieta.Witek@sejm.pl
Przemysław Witek,28 Częstochowa,KO,2007,Przemyslaw.Witek@sejm.pl
Kamil Wnuk,32 Katowice,Polska2050-TD,2001,Kamil.Wnuk@sejm.pl
Anna Wojciechowska,35 Olsztyn,KO,1994,Anna.Wojciechowska@sejm.pl
Agnieszka Wojciechowska van Heukelom,9 Łódź,PiS,1993,Agnieszka.WojciechowskavanHeukelom@sejm.pl
Agata Wojtyszek,33 Kielce,PiS,2000,Agata.Wojtyszek@sejm.pl
Bogusław Wołoszański,10 Piotrków Trybunalski,KO,2001,Boguslaw.Woloszanski@sejm.pl
Michał Woś,30 Bielsko-Biała,PiS,2015,Michal.Wos@sejm.pl
Grzegorz Woźniak,18 Siedlce,PiS,2005,Grzegorz.Wozniak@sejm.pl
Tadeusz Woźniak,11 Sieradz,PiS,2009,Tadeusz.Wozniak@sejm.pl
Michał Wójcik,31 Katowice,PiS,2006,Michal.Wojcik@sejm.pl
Maciej Wróbel,35 Olsztyn,KO,2007,Maciej.Wrobel@sejm.pl
Bartłomiej Wróblewski,39 Poznań,PiS,2010,Bartlomiej.Wroblewski@sejm.pl
Paweł Zalewski,20 Warszawa,Polska2050-TD,1998,Pawel.Zalewski@sejm.pl
Adrian Zandberg,19 Warszawa,Lewica,2019,Adrian.Zandberg@sejm.pl
Andrzej Tomasz Zapałowski,22 Krosno,Konfederacja,2017,Andrzej.Zapalowski@sejm.pl
Bartosz Zawieja,39 Poznań,KO,2021,Bartosz.Zawieja@sejm.pl
Marcelina Zawisza,21 Opole,Lewica,2020,Marcelina.Zawisza@sejm.pl
Sławomir Zawiślak,7 Chełm,PiS,2014,Slawomir.Zawislak@sejm.pl
Bogdan Andrzej Zdrojewski,3 Wrocław,KO,2005,Bogdan.Zdrojewski@sejm.pl
Witold Zembaczyński,21 Opole,KO,1995,Witold.Zembaczynski@sejm.pl
Piotr Zgorzelski,16 Płock,PSL-TD,2006,Piotr.Zgorzelski@sejm.pl
Zbigniew Ziejewski,34 Elbląg,PSL-TD,1995,Zbigniew.Ziejewski@sejm.pl
Urszula Sara Zielińska,19 Warszawa,KO,2020,Urszula.Zielinska@sejm.pl
Jarosław Zieliński,24 Białystok,PiS,2003,Jaroslaw.Zielinski@sejm.pl
Tomasz Zieliński,7 Chełm,PiS,2003,Tomasz.Zielinski@sejm.pl
Jolanta Zięba-Gzik,11 Sieradz,PSL-TD,2010,Jolanta.Zieba-Gzik@sejm.pl
Tomasz Zimoch,3 Wrocław,Polska2050-TD,1993,Tomasz.Zimoch@sejm.pl
Zbigniew Ziobro,23 Rzeszów,PiS,2005,Zbigniew.Ziobro@sejm.pl
Wojciech Michał Zubowski,1 Legnica,PiS,2011,Wojciech.Zubowski@sejm.pl
Ireneusz Zyska,2 Wałbrzych,PiS,2018,Ireneusz.Zyska@sejm.pl
Bożena Żelazowska,20 Warszawa,PSL-TD,2000,Bozena.Zelazowska@sejm.pl
Anna Maria Żukowska,19 Warszawa,Lewica,2012,Anna.Zukowska@sejm.pl
Anna Baluch,6 Lublin,PiS,2020,Anna.Baluch@sejm.pl
Magdalena Łośko,4 Bydgoszcz,KO,1993,Magdalena.Losko@sejm.pl
